TaxCommissionPeriodId	MachineId	RestockId	ItemId	TaxCommissionRuleId	CalculatedCommissionAdjustmentRestockItemAllocatedAmountInCents	CommissionAdjustmentTaxCommissionPeriodId	CommissionAdjustmentMachineId	CommissionAdjustmentAmountInCents	CommissionAdjustmentEffectiveDate	CommissionAdjustmentCreatedBy	CommissionAdjustmentReason	
=1	=999971	=16147	=247	=324	=-81.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16147	=249	=324	=-79.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16147	=264	=324	=-82.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16147	=593	=325	=-60.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16213	=247	=324	=-77.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16213	=248	=324	=-82.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16213	=249	=324	=-78.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16213	=264	=324	=-73.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16213	=593	=325	=-24.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16327	=247	=324	=-82.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16327	=248	=324	=-81.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16327	=249	=324	=-77.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16327	=264	=324	=-78.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16327	=593	=325	=-38.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16423	=247	=324	=-79.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
