Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentCreatedDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleDate	ScheduleId	RestockSummaryFrozen	
=16122	=999972	=11/01/2013 07:00:34	=11/01/2013 14:00:34	=10/25/2013 06:52:05	[NULL]	=False	=False	[NULL]	=False	=1908	=0	=0	=0	=999	=1011925	=0	=30572	=129	=1011925	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1344710	=0	=6572	=0	=336560	=0	=350950	=0	=365475	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16123	=1037295	=11/01/2013 07:13:54	=11/01/2013 14:13:54	=10/29/2013 08:20:38	[NULL]	=False	=False	[NULL]	=False	=1908	=0	=0	=0	=998	=6269880	=0	=75533	=123	=5052175	=0	=12400	=0	=1217705	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6075720	=0	=35983	=0	=1000964	=0	=1476460	=0	=1019354	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16124	=1011774	=11/01/2013 07:38:05	=11/01/2013 14:38:05	=10/17/2013 06:55:31	[NULL]	=False	=False	[NULL]	=False	=1908	=0	=0	=0	=997	=13570860	=0	=136780	=202	=13570860	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=14061930	=0	=100474	=0	=534185	=0	=3480345	=0	=496225	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16125	=1037536	=11/01/2013 08:24:36	=11/01/2013 15:24:36	=10/24/2013 08:58:28	[NULL]	=False	=False	[NULL]	=False	=1909	=31	=1865	=0	=108	=1795960	=13270	=17209	=95	=1538160	=8300	=2303	=43	=257800	=4970	=0	=0	=0	=0	=0	=0	=0	=0	=2069380	=14895	=13535	=81	=395655	=4930	=320225	=1865	=552290	=6595	=5000	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2305	=False	
=16127	=1180468	=11/01/2013 10:15:31	=11/01/2013 17:15:31	=10/25/2013 08:57:32	[NULL]	=False	=False	[NULL]	=False	=1908	=134	=2940	=0	=145	=3361920	=17570	=53648	=181	=3361920	=17570	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4075655	=19710	=20322	=133	=689065	=3470	=1354390	=2940	=668760	=2140	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16128	=999956	=11/01/2013 10:32:36	=11/01/2013 17:32:36	=10/07/2013 11:31:51	[NULL]	=False	=False	[NULL]	=False	=1909	=11	=1905	=0	=150	=17475	=3000	=641	=114	=17475	=3000	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=21390	=3825	=51	=11	=10570	=820	=5720	=1905	=3895	=825	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2305	=False	
=16129	=1180283	=11/01/2013 10:43:04	=11/01/2013 17:43:04	=10/25/2013 09:02:46	[NULL]	=False	=False	[NULL]	=False	=1908	=116	=2910	=0	=109	=745645	=14725	=9661	=191	=745645	=14725	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1021320	=21760	=6499	=146	=216380	=4250	=155040	=2910	=283385	=7025	=3000	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16137	=1157801	=11/01/2013 13:29:36	=11/01/2013 20:29:36	=10/29/2013 06:42:42	[NULL]	=False	=False	[NULL]	=False	=1908	=177	=1570	=0	=92	=4474070	=19280	=50960	=218	=4474070	=19280	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5097800	=22070	=39632	=179	=624535	=2645	=510065	=1525	=624675	=2790	=200	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/01/2013 00:00:00	=2304	=False	
=16143	=999955	=11/04/2013 06:27:12	=11/04/2013 14:27:12	=10/29/2013 09:11:43	[NULL]	=False	=False	[NULL]	=False	=1910	=0	=0	=0	=990	=2520805	=0	=24958	=129	=2520805	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2736240	=0	=18774	=0	=209075	=0	=649765	=0	=215155	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
=16144	=999976	=11/04/2013 06:35:01	=11/04/2013 14:35:01	=10/30/2013 05:59:31	[NULL]	=False	=False	[NULL]	=False	=1910	=0	=0	=0	=991	=213300	=0	=9927	=83	=213300	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=232150	=0	=1510	=0	=35555	=0	=45595	=0	=17360	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
