RestockId	DeliveryOrderId	SaleId	MachineId	EffectiveDate	TaxJurisdictionDetailId	TaxCommissionRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
=16123	[NULL]	[NULL]	=1037295	=11/01/2013 00:00:00	=26	=276	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16123	[NULL]	[NULL]	=1037295	=11/01/2013 00:00:00	=28	=284	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16123	[NULL]	[NULL]	=1037295	=11/01/2013 00:00:00	=41	=329	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=26	=274	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=26	=274	=259	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=28	=282	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=28	=282	=259	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=41	=327	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16124	[NULL]	[NULL]	=1011774	=11/01/2013 00:00:00	=41	=327	=259	=0	=0	=0	=0.00000	=0.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=26	=274	=247	=5249	=5249	=5249	=4848.96074	=303.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=26	=274	=571	=4686	=4686	=4686	=4328.86836	=271.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=28	=282	=247	=5249	=5249	=5249	=4848.96074	=48.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=28	=282	=571	=4686	=4686	=4686	=4328.86836	=43.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=41	=327	=247	=5249	=5249	=5249	=4848.96074	=49.00000	=0	
=16125	[NULL]	[NULL]	=1037536	=11/01/2013 00:00:00	=41	=327	=571	=4686	=4686	=4686	=4328.86836	=43.00000	=0	
=16127	[NULL]	[NULL]	=1180468	=11/01/2013 00:00:00	=38	=311	=444	=16340	=16340	=16340	=15271.02804	=1069.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=247	=376	=376	=376	=347.34411	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=248	=375	=375	=375	=346.42032	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=707	=376	=376	=376	=347.34411	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=713	=376	=376	=376	=347.34411	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=725	=375	=375	=375	=346.42032	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=739	=376	=376	=376	=347.34411	=21.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=842	=375	=375	=375	=346.42032	=21.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=26	=274	=988	=376	=376	=376	=347.34411	=22.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=247	=376	=376	=376	=347.34411	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=248	=375	=375	=375	=346.42032	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=707	=376	=376	=376	=347.34411	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=713	=376	=376	=376	=347.34411	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=725	=375	=375	=375	=346.42032	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=739	=376	=376	=376	=347.34411	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=842	=375	=375	=375	=346.42032	=4.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=28	=282	=988	=376	=376	=376	=347.34411	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=247	=376	=376	=376	=347.34411	=4.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=248	=375	=375	=375	=346.42032	=4.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=707	=376	=376	=376	=347.34411	=4.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=713	=376	=376	=376	=347.34411	=4.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=725	=375	=375	=375	=346.42032	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=739	=376	=376	=376	=347.34411	=4.00000	=0	
