RestockId	HasSalesAllocated	ItemId	PriceInCents	AllocatedCashlessSalesAmountInCents	AllocatedCashlessSalesQuantity	AllocatedCollectedAmountInCents	AllocatedRefundAmountInCents	SalesQuantity	AddedQuantity	RemovedQuantity	SpoiledQuantity	Inventory	
=16122	=False	=247	=0	=0	=0	=0	=0	=0	=0	=0	=0	=39	
=16122	=False	=248	=0	=0	=0	=0	=0	=0	=6	=0	=0	=38	
=16122	=False	=249	=0	=0	=0	=0	=0	=0	=0	=0	=0	=33	
=16122	=False	=264	=0	=0	=0	=0	=0	=0	=18	=0	=0	=42	
=16122	=False	=593	=0	=0	=0	=0	=0	=0	=106	=0	=0	=168	
=16123	=False	=247	=0	=0	=0	=0	=0	=0	=0	=0	=0	=35	
=16123	=False	=248	=0	=0	=0	=0	=0	=0	=36	=0	=0	=73	
=16123	=False	=249	=0	=0	=0	=0	=0	=0	=0	=0	=0	=32	
=16123	=False	=264	=0	=0	=0	=0	=0	=0	=18	=0	=0	=43	
=16123	=False	=593	=0	=0	=0	=0	=0	=0	=106	=0	=0	=177	
=16124	=False	=248	=0	=0	=0	=0	=0	=0	=48	=0	=0	=89	
=16124	=False	=251	=0	=0	=0	=0	=0	=0	=27	=0	=0	=53	
=16124	=False	=252	=0	=0	=0	=0	=0	=0	=24	=0	=0	=52	
=16124	=False	=253	=0	=0	=0	=0	=0	=0	=18	=0	=0	=52	
=16124	=False	=254	=0	=0	=0	=0	=0	=0	=0	=0	=0	=44	
=16124	=False	=256	=0	=0	=0	=0	=0	=0	=12	=0	=0	=50	
=16124	=False	=259	=0	=0	=0	=0	=0	=0	=42	=0	=0	=48	
=16124	=False	=260	=0	=0	=0	=0	=0	=0	=18	=0	=0	=51	
=16124	=False	=623	=0	=0	=0	=0	=0	=0	=24	=0	=0	=45	
=16125	=True	=247	=70	=898	=8	=897	=0	=8	=21	=0	=0	=50	
=16125	=True	=248	=70	=113	=1	=112	=0	=1	=5	=0	=0	=18	
=16125	=True	=249	=70	=112	=1	=112	=0	=1	=13	=0	=0	=27	
=16125	=True	=251	=0	=0	=0	=0	=0	=0	=3	=0	=0	=9	
=16125	=True	=252	=70	=224	=2	=225	=0	=2	=4	=0	=0	=17	
=16125	=True	=253	=0	=0	=0	=0	=0	=0	=2	=0	=0	=9	
=16125	=True	=254	=0	=0	=0	=0	=0	=0	=4	=0	=0	=9	
=16125	=True	=259	=0	=0	=0	=0	=0	=0	=4	=0	=0	=8	
=16125	=True	=260	=70	=225	=2	=224	=0	=2	=0	=0	=0	=8	
=16125	=True	=261	=0	=0	=0	=0	=0	=0	=0	=0	=0	=12	
=16125	=True	=264	=70	=112	=1	=112	=0	=1	=13	=0	=0	=18	
=16125	=True	=432	=200	=641	=5	=641	=0	=2	=3	=0	=0	=13	
=16125	=True	=439	=0	=0	=0	=0	=0	=0	=6	=0	=0	=13	
=16125	=True	=452	=200	=321	=3	=320	=0	=1	=0	=0	=0	=8	
=16125	=True	=458	=100	=481	=4	=481	=0	=3	=13	=0	=0	=24	
=16125	=True	=474	=125	=200	=2	=200	=0	=1	=4	=0	=0	=8	
=16125	=True	=570	=125	=201	=2	=200	=0	=1	=2	=0	=0	=15	
=16125	=True	=571	=125	=401	=3	=400	=0	=2	=16	=0	=0	=24	
=16125	=True	=572	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16125	=True	=626	=0	=0	=0	=0	=0	=0	=2	=0	=0	=9	
=16125	=True	=677	=200	=641	=6	=640	=0	=2	=2	=0	=0	=9	
=16125	=True	=707	=125	=200	=1	=200	=0	=1	=0	=0	=0	=8	
=16125	=True	=718	=125	=200	=2	=201	=0	=1	=3	=0	=0	=7	
=16125	=True	=739	=0	=0	=0	=0	=0	=0	=4	=0	=0	=9	
=16125	=True	=753	=0	=0	=0	=0	=0	=0	=0	=0	=0	=8	
=16125	=True	=765	=0	=0	=0	=0	=0	=0	=4	=0	=0	=17	
=16125	=True	=766	=0	=0	=0	=0	=0	=0	=4	=0	=0	=17	
=16127	=True	=250	=0	=0	=0	=0	=0	=0	=0	=0	=0	=37	
=16127	=True	=264	=70	=0	=0	=1010	=0	=2	=18	=0	=0	=41	
=16127	=True	=444	=100	=0	=0	=8657	=0	=12	=68	=0	=0	=80	
=16127	=True	=445	=100	=0	=0	=2164	=0	=3	=12	=0	=0	=35	
=16127	=True	=446	=100	=0	=0	=2886	=0	=4	=50	=0	=0	=78	
=16127	=True	=447	=100	=0	=0	=721	=0	=1	=18	=0	=0	=33	
=16127	=True	=477	=0	=0	=0	=0	=0	=0	=0	=0	=0	=63	
=16127	=True	=707	=125	=0	=0	=902	=0	=1	=10	=0	=0	=35	
=16128	=True	=247	=0	=0	=0	=0	=0	=0	=0	=0	=0	=61	
=16128	=True	=248	=25	=0	=0	=1002	=0	=3	=43	=0	=0	=59	
=16128	=True	=707	=0	=0	=0	=0	=0	=0	=0	=0	=0	=19	
=16128	=True	=713	=25	=0	=0	=668	=0	=2	=18	=0	=0	=41	
=16128	=True	=725	=25	=0	=0	=334	=0	=1	=0	=0	=0	=49	
=16128	=True	=739	=25	=0	=0	=1001	=0	=3	=0	=0	=0	=31	
=16128	=True	=842	=0	=0	=0	=0	=0	=0	=0	=0	=0	=29	
=16128	=True	=988	=0	=0	=0	=0	=0	=0	=0	=0	=0	=48	
=16129	=True	=280	=90	=0	=0	=1255	=0	=1	=10	=0	=0	=15	
=16129	=True	=282	=90	=0	=0	=1256	=0	=1	=8	=0	=0	=17	
=16129	=True	=284	=0	=0	=0	=0	=0	=0	=5	=0	=0	=12	
=16129	=True	=286	=0	=0	=0	=0	=0	=0	=6	=0	=0	=18	
=16129	=True	=289	=0	=0	=0	=0	=0	=0	=0	=0	=0	=13	
=16129	=True	=313	=0	=0	=0	=0	=0	=0	=6	=0	=2	=9	
=16129	=True	=319	=0	=0	=0	=0	=0	=0	=10	=0	=0	=11	
=16129	=True	=327	=0	=0	=0	=0	=0	=0	=4	=0	=0	=11	
=16129	=True	=329	=80	=0	=0	=2233	=0	=2	=3	=0	=0	=7	
=16129	=True	=350	=0	=0	=0	=0	=0	=0	=7	=0	=0	=15	
=16129	=True	=351	=0	=0	=0	=0	=0	=0	=8	=0	=0	=8	
=16129	=True	=352	=0	=0	=0	=0	=0	=0	=11	=0	=0	=12	
=16129	=True	=356	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16129	=True	=357	=0	=0	=0	=0	=0	=0	=0	=0	=0	=8	
=16129	=True	=376	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5	
=16129	=True	=377	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16129	=True	=381	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16129	=True	=382	=90	=0	=0	=1256	=0	=1	=12	=0	=0	=12	
=16129	=True	=384	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16129	=True	=385	=0	=0	=0	=0	=0	=0	=12	=0	=0	=15	
=16129	=True	=395	=0	=0	=0	=0	=0	=0	=14	=0	=0	=14	
=16129	=True	=400	=0	=0	=0	=0	=0	=0	=11	=0	=0	=12	
=16129	=True	=423	=65	=0	=0	=907	=0	=1	=0	=0	=0	=10	
=16129	=True	=425	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11	
=16129	=True	=441	=0	=0	=0	=0	=0	=0	=8	=0	=0	=11	
=16129	=True	=498	=0	=0	=0	=0	=0	=0	=6	=0	=0	=12	
=16129	=True	=527	=0	=0	=0	=0	=0	=0	=10	=0	=0	=11	
=16129	=True	=543	=0	=0	=0	=0	=0	=0	=6	=0	=0	=11	
=16129	=True	=589	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6	
=16129	=True	=590	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5	
=16129	=True	=611	=0	=0	=0	=0	=0	=0	=0	=0	=0	=15	
=16129	=True	=618	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16129	=True	=627	=0	=0	=0	=0	=0	=0	=0	=0	=0	=8	
=16129	=True	=671	=75	=0	=0	=1046	=0	=1	=7	=0	=0	=14	
=16129	=True	=730	=0	=0	=0	=0	=0	=0	=8	=0	=0	=8	
=16129	=True	=745	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9	
=16129	=True	=752	=0	=0	=0	=0	=0	=0	=0	=8	=0	=0	
=16129	=True	=757	=0	=0	=0	=0	=0	=0	=0	=0	=0	=15	
=16129	=True	=761	=0	=0	=0	=0	=0	=0	=0	=0	=0	=12	
=16129	=True	=899	=0	=0	=0	=0	=0	=0	=8	=0	=0	=9	
=16129	=True	=980	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16129	=True	=992	=65	=0	=0	=1814	=0	=2	=0	=0	=0	=5	
=16129	=True	=995	=0	=0	=0	=0	=0	=0	=5	=0	=0	=12	
=16129	=True	=996	=90	=0	=0	=2511	=0	=2	=0	=1	=0	=0	
=16129	=True	=997	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3	
=16129	=True	=1006	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9	
=16129	=True	=1010	=0	=0	=0	=0	=0	=0	=9	=0	=0	=9	
=16129	=True	=1028	=80	=0	=0	=2232	=0	=2	=0	=2	=0	=0	
=16137	=True	=283	=100	=0	=0	=1035	=0	=3	=6	=0	=0	=15	
=16137	=True	=284	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11	
