Id	WarehouseId	ItemId	Quantity	ParLevel	ParPackId	
=1	=11	=300	=11	[NULL]	[NULL]	
=2	=11	=301	=549	[NULL]	[NULL]	
=3	=11	=619	=1	[NULL]	[NULL]	
=4	=11	=679	=0	[NULL]	[NULL]	
=5	=8	=679	=4	[NULL]	[NULL]	
=6	=18	=677	=-12	=5	=684	
=7	=18	=192	=-78	[NULL]	[NULL]	
=8	=19	=192	=78	[NULL]	[NULL]	
=9	=1	=41	=-2	[NULL]	[NULL]	
=10	=1	=45	=-2	[NULL]	[NULL]	
=11	=1	=52	=-1	[NULL]	[NULL]	
=12	=1	=54	=-5	[NULL]	[NULL]	
=13	=1	=60	=-3	[NULL]	[NULL]	
=14	=1	=82	=-3	[NULL]	[NULL]	
=15	=1	=93	=-4	[NULL]	[NULL]	
=16	=1	=97	=-4	[NULL]	[NULL]	
=17	=1	=99	=-4	[NULL]	[NULL]	
=18	=1	=102	=-11	[NULL]	[NULL]	
=19	=1	=103	=0	[NULL]	[NULL]	
=20	=1	=104	=0	[NULL]	[NULL]	
=21	=1	=107	=-4	[NULL]	[NULL]	
=22	=1	=108	=-1	[NULL]	[NULL]	
=23	=1	=109	=-2	[NULL]	[NULL]	
=24	=1	=110	=5	[NULL]	[NULL]	
=25	=1	=111	=0	[NULL]	[NULL]	
=26	=1	=113	=0	[NULL]	[NULL]	
=27	=1	=116	=-1	[NULL]	[NULL]	
=28	=1	=122	=-6	[NULL]	[NULL]	
=29	=1	=126	=0	[NULL]	[NULL]	
=30	=1	=127	=0	[NULL]	[NULL]	
=31	=1	=134	=-1	[NULL]	[NULL]	
=32	=1	=135	=-10	[NULL]	[NULL]	
=33	=1	=137	=-1	[NULL]	[NULL]	
=34	=1	=141	=-3	[NULL]	[NULL]	
=35	=1	=143	=-13	[NULL]	[NULL]	
=36	=1	=144	=-6	[NULL]	[NULL]	
=37	=1	=146	=-2	[NULL]	[NULL]	
=38	=1	=147	=-3	[NULL]	[NULL]	
=39	=1	=148	=-11	[NULL]	[NULL]	
=40	=1	=149	=-6	[NULL]	[NULL]	
=41	=1	=150	=-10	[NULL]	[NULL]	
=42	=1	=151	=0	[NULL]	[NULL]	
=43	=1	=152	=0	[NULL]	[NULL]	
=44	=1	=153	=0	[NULL]	[NULL]	
=45	=1	=154	=-8	[NULL]	[NULL]	
=46	=1	=156	=-1	[NULL]	[NULL]	
=47	=1	=162	=-3	[NULL]	[NULL]	
=48	=1	=212	=-6	[NULL]	[NULL]	
=49	=1	=224	=-2	[NULL]	[NULL]	
=50	=1	=245	=-5	[NULL]	[NULL]	
=51	=1	=246	=-7	[NULL]	[NULL]	
=52	=1	=295	=0	[NULL]	[NULL]	
=53	=1	=296	=-2	[NULL]	[NULL]	
=54	=1	=297	=0	[NULL]	[NULL]	
=55	=1	=401	=0	[NULL]	[NULL]	
=56	=1	=425	=0	[NULL]	[NULL]	
=57	=1	=474	=0	[NULL]	[NULL]	
=58	=1	=488	=0	[NULL]	[NULL]	
=59	=1	=506	=-2	[NULL]	[NULL]	
=60	=1	=563	=-4	[NULL]	[NULL]	
=61	=1	=622	=0	[NULL]	[NULL]	
=62	=1	=628	=-4	[NULL]	[NULL]	
=63	=1	=636	=-3	[NULL]	[NULL]	
=64	=1	=666	=-5	[NULL]	[NULL]	
=65	=1	=670	=-10	[NULL]	[NULL]	
=66	=1	=672	=-9	[NULL]	[NULL]	
=67	=1	=673	=-1	[NULL]	[NULL]	
=68	=1	=674	=-2	[NULL]	[NULL]	
=69	=13	=41	=0	[NULL]	[NULL]	
=70	=13	=45	=0	[NULL]	[NULL]	
=71	=13	=52	=0	[NULL]	[NULL]	
=72	=13	=54	=0	[NULL]	[NULL]	
=73	=13	=60	=0	[NULL]	[NULL]	
=74	=13	=82	=0	[NULL]	[NULL]	
=75	=13	=93	=0	[NULL]	[NULL]	
=76	=13	=97	=0	[NULL]	[NULL]	
=77	=13	=99	=0	[NULL]	[NULL]	
=78	=13	=102	=0	[NULL]	[NULL]	
=79	=13	=103	=0	[NULL]	[NULL]	
=80	=13	=104	=0	[NULL]	[NULL]	
=81	=13	=107	=0	[NULL]	[NULL]	
=82	=13	=108	=0	[NULL]	[NULL]	
=83	=13	=109	=0	[NULL]	[NULL]	
=84	=13	=110	=0	[NULL]	[NULL]	
=85	=13	=111	=0	[NULL]	[NULL]	
=86	=13	=113	=0	[NULL]	[NULL]	
=87	=13	=116	=0	[NULL]	[NULL]	
=88	=13	=122	=0	[NULL]	[NULL]	
=89	=13	=126	=0	[NULL]	[NULL]	
=90	=13	=127	=0	[NULL]	[NULL]	
=91	=13	=134	=0	[NULL]	[NULL]	
=92	=13	=135	=0	[NULL]	[NULL]	
=93	=13	=137	=0	[NULL]	[NULL]	
=94	=13	=141	=0	[NULL]	[NULL]	
=95	=13	=143	=0	[NULL]	[NULL]	
=96	=13	=144	=0	[NULL]	[NULL]	
=97	=13	=146	=0	[NULL]	[NULL]	
=98	=13	=147	=0	[NULL]	[NULL]	
=99	=13	=148	=0	[NULL]	[NULL]	
=100	=13	=149	=0	[NULL]	[NULL]	
=101	=13	=150	=0	[NULL]	[NULL]	
=102	=13	=151	=0	[NULL]	[NULL]	
=103	=13	=152	=0	[NULL]	[NULL]	
=104	=13	=153	=0	[NULL]	[NULL]	
=105	=13	=154	=0	[NULL]	[NULL]	
=106	=13	=156	=0	[NULL]	[NULL]	
=107	=13	=162	=0	[NULL]	[NULL]	
=108	=13	=212	=0	[NULL]	[NULL]	
=109	=13	=224	=0	[NULL]	[NULL]	
=110	=13	=245	=0	[NULL]	[NULL]	
=111	=13	=246	=0	[NULL]	[NULL]	
=112	=13	=295	=0	[NULL]	[NULL]	
=113	=13	=296	=0	[NULL]	[NULL]	
=114	=13	=297	=0	[NULL]	[NULL]	
=115	=13	=401	=0	[NULL]	[NULL]	
=116	=13	=425	=0	[NULL]	[NULL]	
=117	=13	=474	=0	[NULL]	[NULL]	
=118	=13	=488	=0	[NULL]	[NULL]	
=119	=13	=506	=0	[NULL]	[NULL]	
=120	=13	=563	=0	[NULL]	[NULL]	
=121	=13	=622	=0	[NULL]	[NULL]	
=122	=13	=628	=0	[NULL]	[NULL]	
=123	=13	=636	=0	[NULL]	[NULL]	
=124	=13	=666	=0	[NULL]	[NULL]	
=125	=13	=670	=0	[NULL]	[NULL]	
=126	=13	=672	=0	[NULL]	[NULL]	
=127	=13	=673	=0	[NULL]	[NULL]	
=128	=13	=674	=0	[NULL]	[NULL]	
=129	=5	=41	=1	[NULL]	[NULL]	
=130	=5	=45	=2	[NULL]	[NULL]	
=131	=5	=52	=1	[NULL]	[NULL]	
=132	=5	=54	=0	[NULL]	[NULL]	
=133	=5	=60	=2	[NULL]	[NULL]	
=134	=5	=82	=3	[NULL]	[NULL]	
=135	=5	=93	=4	[NULL]	[NULL]	
=136	=5	=97	=2	[NULL]	[NULL]	
=137	=5	=99	=3	[NULL]	[NULL]	
=138	=5	=102	=4	[NULL]	[NULL]	
=139	=5	=103	=0	[NULL]	[NULL]	
=140	=5	=104	=0	[NULL]	[NULL]	
=141	=5	=107	=0	[NULL]	[NULL]	
=142	=5	=108	=1	[NULL]	[NULL]	
=143	=5	=109	=2	[NULL]	[NULL]	
=144	=5	=110	=1	[NULL]	[NULL]	
=145	=5	=111	=0	[NULL]	[NULL]	
=146	=5	=113	=0	[NULL]	[NULL]	
=147	=5	=116	=0	[NULL]	[NULL]	
=148	=5	=122	=6	[NULL]	[NULL]	
=149	=5	=126	=0	[NULL]	[NULL]	
=150	=5	=127	=0	[NULL]	[NULL]	
=151	=5	=134	=0	[NULL]	[NULL]	
=152	=5	=135	=2	[NULL]	[NULL]	
=153	=5	=137	=1	[NULL]	[NULL]	
=154	=5	=141	=3	[NULL]	[NULL]	
=155	=5	=143	=6	[NULL]	[NULL]	
=156	=5	=144	=6	[NULL]	[NULL]	
=157	=5	=146	=2	[NULL]	[NULL]	
=158	=5	=147	=0	[NULL]	[NULL]	
=159	=5	=148	=9	[NULL]	[NULL]	
=160	=5	=149	=4	[NULL]	[NULL]	
=161	=5	=150	=8	[NULL]	[NULL]	
=162	=5	=151	=0	[NULL]	[NULL]	
=163	=5	=152	=0	[NULL]	[NULL]	
=164	=5	=153	=0	[NULL]	[NULL]	
=165	=5	=154	=7	[NULL]	[NULL]	
