Id	WarehouseTransactionHistoryId	WarehouseId	ItemId	Active	ObservedQuantity	AdjustmentQuantity	FutureObservedAdjustmentQuantity	
=1	=1	=11	=300	=True	[NULL]	=11	=0	
=2	=1	=11	=301	=True	[NULL]	=552	=0	
=3	=1	=11	=619	=True	[NULL]	=1	=0	
=4	=2	=11	=301	=True	[NULL]	=-3	=0	
=5	=3	=11	=679	=True	[NULL]	=4	=0	
=6	=4	=11	=679	=True	[NULL]	=-4	=0	
=7	=4	=8	=679	=True	[NULL]	=4	=0	
=8	=5	=18	=192	=True	[NULL]	=-30	=0	
=9	=5	=19	=192	=True	[NULL]	=30	=0	
=10	=6	=18	=192	=True	[NULL]	=-48	=0	
=11	=6	=19	=192	=True	[NULL]	=48	=0	
=12	=7	=1	=41	=True	[NULL]	=-3	=0	
=13	=7	=1	=45	=True	[NULL]	=-2	=0	
=14	=7	=1	=52	=True	[NULL]	=-5	=0	
=15	=7	=1	=54	=True	[NULL]	=-7	=0	
=16	=7	=1	=60	=True	[NULL]	=-5	=0	
=17	=7	=1	=82	=True	[NULL]	=-5	=0	
=18	=7	=1	=93	=True	[NULL]	=-4	=0	
=19	=7	=1	=97	=True	[NULL]	=-6	=0	
=20	=7	=1	=99	=True	[NULL]	=-6	=0	
=21	=7	=1	=102	=True	[NULL]	=-18	=0	
=22	=7	=1	=103	=True	[NULL]	=-10	=0	
=23	=7	=1	=104	=True	[NULL]	=-2	=0	
=24	=7	=1	=107	=True	[NULL]	=-8	=0	
=25	=7	=1	=108	=True	[NULL]	=-7	=0	
=26	=7	=1	=109	=True	[NULL]	=-7	=0	
=27	=7	=1	=110	=True	[NULL]	=-7	=0	
=28	=7	=1	=111	=True	[NULL]	=-9	=0	
=29	=7	=1	=113	=True	[NULL]	=-9	=0	
=30	=7	=1	=116	=True	[NULL]	=-2	=0	
=31	=7	=1	=122	=True	[NULL]	=-8	=0	
=32	=7	=1	=126	=True	[NULL]	=-2	=0	
=33	=7	=1	=127	=True	[NULL]	=-2	=0	
=34	=7	=1	=134	=True	[NULL]	=-2	=0	
=35	=7	=1	=135	=True	[NULL]	=-12	=0	
=36	=7	=1	=137	=True	[NULL]	=-1	=0	
=37	=7	=1	=141	=True	[NULL]	=-3	=0	
=38	=7	=1	=143	=True	[NULL]	=-20	=0	
=39	=7	=1	=144	=True	[NULL]	=-6	=0	
=40	=7	=1	=146	=True	[NULL]	=-5	=0	
=41	=7	=1	=147	=True	[NULL]	=-6	=0	
=42	=7	=1	=148	=True	[NULL]	=-18	=0	
=43	=7	=1	=149	=True	[NULL]	=-8	=0	
=44	=7	=1	=150	=True	[NULL]	=-15	=0	
=45	=7	=1	=151	=True	[NULL]	=-1	=0	
=46	=7	=1	=152	=True	[NULL]	=-2	=0	
=47	=7	=1	=153	=True	[NULL]	=-5	=0	
=48	=7	=1	=154	=True	[NULL]	=-10	=0	
=49	=7	=1	=156	=True	[NULL]	=-2	=0	
=50	=7	=1	=162	=True	[NULL]	=-4	=0	
=51	=7	=1	=212	=True	[NULL]	=-8	=0	
=52	=7	=1	=224	=True	[NULL]	=-4	=0	
=53	=7	=1	=245	=True	[NULL]	=-6	=0	
=54	=7	=1	=246	=True	[NULL]	=-8	=0	
=55	=7	=1	=295	=True	[NULL]	=-2	=0	
=56	=7	=1	=296	=True	[NULL]	=-4	=0	
=57	=7	=1	=297	=True	[NULL]	=-3	=0	
=58	=7	=1	=401	=True	[NULL]	=-4	=0	
=59	=7	=1	=425	=True	[NULL]	=-1	=0	
=60	=7	=1	=474	=True	[NULL]	=-1	=0	
=61	=7	=1	=488	=True	[NULL]	=-3	=0	
=62	=7	=1	=506	=True	[NULL]	=-4	=0	
=63	=7	=1	=563	=True	[NULL]	=-10	=0	
=64	=7	=1	=622	=True	[NULL]	=-1	=0	
=65	=7	=1	=628	=True	[NULL]	=-5	=0	
=66	=7	=1	=636	=True	[NULL]	=-3	=0	
=67	=7	=1	=666	=True	[NULL]	=-10	=0	
=68	=7	=1	=670	=True	[NULL]	=-16	=0	
=69	=7	=1	=672	=True	[NULL]	=-9	=0	
=70	=7	=1	=673	=True	[NULL]	=-2	=0	
=71	=7	=1	=674	=True	[NULL]	=-4	=0	
=72	=7	=13	=41	=True	[NULL]	=3	=0	
=73	=7	=13	=45	=True	[NULL]	=2	=0	
=74	=7	=13	=52	=True	[NULL]	=5	=0	
=75	=7	=13	=54	=True	[NULL]	=7	=0	
=76	=7	=13	=60	=True	[NULL]	=5	=0	
=77	=7	=13	=82	=True	[NULL]	=5	=0	
=78	=7	=13	=93	=True	[NULL]	=4	=0	
=79	=7	=13	=97	=True	[NULL]	=6	=0	
=80	=7	=13	=99	=True	[NULL]	=6	=0	
=81	=7	=13	=102	=True	[NULL]	=18	=0	
=82	=7	=13	=103	=True	[NULL]	=10	=0	
=83	=7	=13	=104	=True	[NULL]	=2	=0	
=84	=7	=13	=107	=True	[NULL]	=8	=0	
=85	=7	=13	=108	=True	[NULL]	=7	=0	
=86	=7	=13	=109	=True	[NULL]	=7	=0	
=87	=7	=13	=110	=True	[NULL]	=7	=0	
