Id	WarehouseId	ItemId	Quantity	ParLevel	ParPackId	
=1	=11	=300	=11	[NULL]	[NULL]	
=2	=11	=301	=549	[NULL]	[NULL]	
=3	=11	=619	=1	[NULL]	[NULL]	
=4	=11	=679	=0	[NULL]	[NULL]	
=5	=8	=679	=4	[NULL]	[NULL]	
=6	=18	=677	=-12	=5	=684	
=7	=18	=192	=-78	[NULL]	[NULL]	
=8	=19	=192	=78	[NULL]	[NULL]	
=9	=12	=13	=0	[NULL]	[NULL]	
=10	=12	=14	=0	[NULL]	[NULL]	
=11	=12	=34	=0	[NULL]	[NULL]	
=12	=12	=41	=0	[NULL]	[NULL]	
=13	=12	=43	=0	[NULL]	[NULL]	
=14	=12	=45	=0	[NULL]	[NULL]	
=15	=12	=49	=0	[NULL]	[NULL]	
=16	=12	=52	=0	[NULL]	[NULL]	
=17	=12	=53	=0	[NULL]	[NULL]	
=18	=12	=72	=0	[NULL]	[NULL]	
=19	=12	=76	=0	[NULL]	[NULL]	
=20	=12	=97	=0	[NULL]	[NULL]	
=21	=12	=102	=0	[NULL]	[NULL]	
=22	=12	=134	=0	[NULL]	[NULL]	
=23	=12	=135	=0	[NULL]	[NULL]	
=24	=12	=137	=0	[NULL]	[NULL]	
=25	=12	=139	=0	[NULL]	[NULL]	
=26	=12	=143	=0	[NULL]	[NULL]	
=27	=12	=146	=0	[NULL]	[NULL]	
=28	=12	=148	=0	[NULL]	[NULL]	
=29	=12	=149	=0	[NULL]	[NULL]	
=30	=12	=150	=0	[NULL]	[NULL]	
=31	=12	=166	=0	[NULL]	[NULL]	
=32	=12	=167	=0	[NULL]	[NULL]	
=33	=12	=168	=0	[NULL]	[NULL]	
=34	=12	=170	=0	[NULL]	[NULL]	
=35	=12	=171	=0	[NULL]	[NULL]	
=36	=12	=192	=0	[NULL]	[NULL]	
=37	=12	=212	=0	[NULL]	[NULL]	
=38	=12	=218	=0	[NULL]	[NULL]	
=39	=12	=287	=0	[NULL]	[NULL]	
=40	=12	=296	=0	[NULL]	[NULL]	
=41	=12	=492	=0	[NULL]	[NULL]	
=42	=12	=506	=0	[NULL]	[NULL]	
=43	=12	=563	=0	[NULL]	[NULL]	
=44	=12	=630	=0	[NULL]	[NULL]	
=45	=12	=636	=0	[NULL]	[NULL]	
=46	=12	=639	=0	[NULL]	[NULL]	
=47	=12	=666	=0	[NULL]	[NULL]	
=48	=12	=671	=0	[NULL]	[NULL]	
=49	=12	=677	=0	[NULL]	[NULL]	
=50	=15	=13	=0	[NULL]	[NULL]	
=51	=15	=14	=0	[NULL]	[NULL]	
=52	=15	=34	=0	[NULL]	[NULL]	
=53	=15	=41	=0	[NULL]	[NULL]	
=54	=15	=43	=0	[NULL]	[NULL]	
=55	=15	=45	=0	[NULL]	[NULL]	
=56	=15	=49	=0	[NULL]	[NULL]	
=57	=15	=52	=0	[NULL]	[NULL]	
=58	=15	=53	=0	[NULL]	[NULL]	
=59	=15	=72	=0	[NULL]	[NULL]	
=60	=15	=76	=0	[NULL]	[NULL]	
=61	=15	=97	=0	[NULL]	[NULL]	
=62	=15	=102	=0	[NULL]	[NULL]	
=63	=15	=134	=0	[NULL]	[NULL]	
=64	=15	=135	=0	[NULL]	[NULL]	
=65	=15	=137	=0	[NULL]	[NULL]	
=66	=15	=139	=0	[NULL]	[NULL]	
=67	=15	=143	=0	[NULL]	[NULL]	
=68	=15	=146	=0	[NULL]	[NULL]	
=69	=15	=148	=0	[NULL]	[NULL]	
=70	=15	=149	=0	[NULL]	[NULL]	
=71	=15	=150	=0	[NULL]	[NULL]	
=72	=15	=166	=0	[NULL]	[NULL]	
=73	=15	=167	=0	[NULL]	[NULL]	
=74	=15	=168	=0	[NULL]	[NULL]	
=75	=15	=170	=0	[NULL]	[NULL]	
=76	=15	=171	=0	[NULL]	[NULL]	
=77	=15	=192	=0	[NULL]	[NULL]	
=78	=15	=212	=0	[NULL]	[NULL]	
=79	=15	=218	=0	[NULL]	[NULL]	
=80	=15	=287	=0	[NULL]	[NULL]	
=81	=15	=296	=0	[NULL]	[NULL]	
=82	=15	=492	=0	[NULL]	[NULL]	
=83	=15	=506	=0	[NULL]	[NULL]	
=84	=15	=563	=0	[NULL]	[NULL]	
=85	=15	=630	=0	[NULL]	[NULL]	
=86	=15	=636	=0	[NULL]	[NULL]	
=87	=15	=639	=0	[NULL]	[NULL]	
=88	=15	=666	=0	[NULL]	[NULL]	
=89	=15	=671	=0	[NULL]	[NULL]	
=90	=15	=677	=0	[NULL]	[NULL]	
=91	=4	=13	=0	[NULL]	[NULL]	
=92	=4	=14	=0	[NULL]	[NULL]	
=93	=4	=34	=0	[NULL]	[NULL]	
=94	=4	=41	=0	[NULL]	[NULL]	
=95	=4	=43	=0	[NULL]	[NULL]	
=96	=4	=45	=0	[NULL]	[NULL]	
=97	=4	=49	=0	[NULL]	[NULL]	
=98	=4	=52	=0	[NULL]	[NULL]	
=99	=4	=53	=0	[NULL]	[NULL]	
=100	=4	=72	=0	[NULL]	[NULL]	
=101	=4	=76	=0	[NULL]	[NULL]	
=102	=4	=97	=0	[NULL]	[NULL]	
=103	=4	=102	=0	[NULL]	[NULL]	
=104	=4	=134	=0	[NULL]	[NULL]	
=105	=4	=135	=0	[NULL]	[NULL]	
=106	=4	=137	=0	[NULL]	[NULL]	
=107	=4	=139	=0	[NULL]	[NULL]	
=108	=4	=143	=0	[NULL]	[NULL]	
=109	=4	=146	=0	[NULL]	[NULL]	
=110	=4	=148	=0	[NULL]	[NULL]	
=111	=4	=149	=0	[NULL]	[NULL]	
=112	=4	=150	=0	[NULL]	[NULL]	
=113	=4	=166	=0	[NULL]	[NULL]	
=114	=4	=167	=0	[NULL]	[NULL]	
=115	=4	=168	=0	[NULL]	[NULL]	
=116	=4	=170	=0	[NULL]	[NULL]	
=117	=4	=171	=0	[NULL]	[NULL]	
=118	=4	=192	=0	[NULL]	[NULL]	
=119	=4	=212	=0	[NULL]	[NULL]	
=120	=4	=218	=0	[NULL]	[NULL]	
=121	=4	=287	=0	[NULL]	[NULL]	
=122	=4	=296	=0	[NULL]	[NULL]	
=123	=4	=492	=0	[NULL]	[NULL]	
=124	=4	=506	=0	[NULL]	[NULL]	
=125	=4	=563	=0	[NULL]	[NULL]	
=126	=4	=630	=0	[NULL]	[NULL]	
=127	=4	=636	=0	[NULL]	[NULL]	
=128	=4	=639	=0	[NULL]	[NULL]	
=129	=4	=666	=0	[NULL]	[NULL]	
=130	=4	=671	=0	[NULL]	[NULL]	
=131	=4	=677	=0	[NULL]	[NULL]	
