Id	BranchId	ServiceWindowStartInMinutes	NextWarehousePrepickToTruckDate	
=0	=1	=0	=02/22/2014 00:00:00	
=1	=1	=0	=02/22/2014 00:00:00	
=2	=1	=0	=02/22/2014 00:00:00	
=3	=1	=360	=02/22/2014 00:00:00	
=4	=1	=0	=02/22/2014 00:00:00	
=5	=1	=0	=02/22/2014 00:00:00	
=6	=2	=120	=01/01/2000 00:00:00	
=7	=1	=0	=02/22/2014 00:00:00	
=8	=1	=0	=02/22/2014 00:00:00	
=9	=1	=0	=02/22/2014 00:00:00	
=10	=1	=0	=02/22/2014 00:00:00	
=153	=1	=0	=02/22/2014 00:00:00	
=154	=2	=0	=02/23/2014 00:00:00	
=155	=3	=0	=02/22/2014 00:00:00	
