Id	WarehouseId	ItemId	Quantity	ParLevel	ParPackId	
=1	=11	=300	=11	[NULL]	[NULL]	
=2	=11	=301	=549	[NULL]	[NULL]	
=3	=11	=619	=1	[NULL]	[NULL]	
=4	=11	=679	=0	[NULL]	[NULL]	
=5	=8	=679	=4	[NULL]	[NULL]	
=6	=18	=677	=-12	=5	=684	
=7	=18	=192	=-78	[NULL]	[NULL]	
=8	=19	=192	=78	[NULL]	[NULL]	
=9	=12	=13	=-39	[NULL]	[NULL]	
=10	=12	=14	=-28	[NULL]	[NULL]	
=11	=12	=34	=-2	[NULL]	[NULL]	
=12	=12	=41	=-2	[NULL]	[NULL]	
=13	=12	=43	=-15	[NULL]	[NULL]	
=14	=12	=45	=-4	[NULL]	[NULL]	
=15	=12	=49	=-5	[NULL]	[NULL]	
=16	=12	=52	=-14	[NULL]	[NULL]	
=17	=12	=53	=-3	[NULL]	[NULL]	
=18	=12	=72	=-3	[NULL]	[NULL]	
=19	=12	=76	=-7	[NULL]	[NULL]	
=20	=12	=97	=-2	[NULL]	[NULL]	
=21	=12	=102	=-3	[NULL]	[NULL]	
=22	=12	=134	=-7	[NULL]	[NULL]	
=23	=12	=135	=-3	[NULL]	[NULL]	
=24	=12	=137	=-2	[NULL]	[NULL]	
=25	=12	=139	=-27	[NULL]	[NULL]	
=26	=12	=143	=-7	[NULL]	[NULL]	
=27	=12	=146	=-11	[NULL]	[NULL]	
=28	=12	=148	=-14	[NULL]	[NULL]	
=29	=12	=149	=-25	[NULL]	[NULL]	
=30	=12	=150	=-12	[NULL]	[NULL]	
=31	=12	=166	=-2	[NULL]	[NULL]	
=32	=12	=167	=-1	[NULL]	[NULL]	
=33	=12	=168	=-5	[NULL]	[NULL]	
=34	=12	=170	=-6	[NULL]	[NULL]	
=35	=12	=171	=-2	[NULL]	[NULL]	
=36	=12	=192	=-480	[NULL]	[NULL]	
=37	=12	=212	=-6	[NULL]	[NULL]	
=38	=12	=218	=-2	[NULL]	[NULL]	
=39	=12	=287	=-4	[NULL]	[NULL]	
=40	=12	=296	=-11	[NULL]	[NULL]	
=41	=12	=492	=-8	[NULL]	[NULL]	
=42	=12	=506	=-6	[NULL]	[NULL]	
=43	=12	=563	=-4	[NULL]	[NULL]	
=44	=12	=630	=-4	[NULL]	[NULL]	
=45	=12	=636	=-9	[NULL]	[NULL]	
=46	=12	=639	=-2	[NULL]	[NULL]	
=47	=12	=666	=-3	[NULL]	[NULL]	
=48	=12	=671	=-4	[NULL]	[NULL]	
=49	=12	=677	=-3	[NULL]	[NULL]	
=50	=15	=13	=45	[NULL]	[NULL]	
=51	=15	=14	=29	[NULL]	[NULL]	
=52	=15	=34	=2	[NULL]	[NULL]	
=53	=15	=41	=2	[NULL]	[NULL]	
=54	=15	=43	=18	[NULL]	[NULL]	
=55	=15	=45	=4	[NULL]	[NULL]	
=56	=15	=49	=5	[NULL]	[NULL]	
=57	=15	=52	=14	[NULL]	[NULL]	
=58	=15	=53	=3	[NULL]	[NULL]	
=59	=15	=72	=3	[NULL]	[NULL]	
=60	=15	=76	=7	[NULL]	[NULL]	
=61	=15	=97	=2	[NULL]	[NULL]	
=62	=15	=102	=3	[NULL]	[NULL]	
=63	=15	=134	=7	[NULL]	[NULL]	
=64	=15	=135	=3	[NULL]	[NULL]	
=65	=15	=137	=2	[NULL]	[NULL]	
=66	=15	=139	=27	[NULL]	[NULL]	
=67	=15	=143	=7	[NULL]	[NULL]	
=68	=15	=146	=11	[NULL]	[NULL]	
=69	=15	=148	=14	[NULL]	[NULL]	
=70	=15	=149	=25	[NULL]	[NULL]	
=71	=15	=150	=12	[NULL]	[NULL]	
=72	=15	=166	=2	[NULL]	[NULL]	
=73	=15	=167	=1	[NULL]	[NULL]	
=74	=15	=168	=5	[NULL]	[NULL]	
=75	=15	=170	=6	[NULL]	[NULL]	
=76	=15	=171	=6	[NULL]	[NULL]	
=77	=15	=192	=480	[NULL]	[NULL]	
=78	=15	=212	=6	[NULL]	[NULL]	
=79	=15	=218	=2	[NULL]	[NULL]	
=80	=15	=287	=4	[NULL]	[NULL]	
=81	=15	=296	=11	[NULL]	[NULL]	
=82	=15	=492	=10	[NULL]	[NULL]	
=83	=15	=506	=6	[NULL]	[NULL]	
=84	=15	=563	=4	[NULL]	[NULL]	
=85	=15	=630	=4	[NULL]	[NULL]	
=86	=15	=636	=9	[NULL]	[NULL]	
=87	=15	=639	=2	[NULL]	[NULL]	
=88	=15	=666	=3	[NULL]	[NULL]	
=89	=15	=671	=4	[NULL]	[NULL]	
=90	=15	=677	=3	[NULL]	[NULL]	
=91	=4	=13	=-39	[NULL]	[NULL]	
=92	=4	=492	=-4	[NULL]	[NULL]	
=93	=4	=14	=-25	[NULL]	[NULL]	
=94	=4	=43	=-18	[NULL]	[NULL]	
=95	=4	=171	=-4	[NULL]	[NULL]	
