Id	WarehouseTransactionHistoryId	WarehouseId	ItemId	Active	ObservedQuantity	AdjustmentQuantity	FutureObservedAdjustmentQuantity	
=1	=1	=11	=300	=True	[NULL]	=11	=0	
=2	=1	=11	=301	=True	[NULL]	=552	=0	
=3	=1	=11	=619	=True	[NULL]	=1	=0	
=4	=2	=11	=301	=True	[NULL]	=-3	=0	
=5	=3	=11	=679	=True	[NULL]	=4	=0	
=6	=4	=11	=679	=True	[NULL]	=-4	=0	
=7	=4	=8	=679	=True	[NULL]	=4	=0	
=8	=5	=18	=192	=True	[NULL]	=-30	=0	
=9	=5	=19	=192	=True	[NULL]	=30	=0	
=10	=6	=18	=192	=True	[NULL]	=-48	=0	
=11	=6	=19	=192	=True	[NULL]	=48	=0	
=12	=7	=12	=13	=True	[NULL]	=-45	=0	
=13	=7	=12	=14	=True	[NULL]	=-29	=0	
=14	=7	=12	=34	=True	[NULL]	=-2	=0	
=15	=7	=12	=41	=True	[NULL]	=-2	=0	
=16	=7	=12	=43	=True	[NULL]	=-18	=0	
=17	=7	=12	=45	=True	[NULL]	=-4	=0	
=18	=7	=12	=49	=True	[NULL]	=-5	=0	
=19	=7	=12	=52	=True	[NULL]	=-14	=0	
=20	=7	=12	=53	=True	[NULL]	=-3	=0	
=21	=7	=12	=72	=True	[NULL]	=-3	=0	
=22	=7	=12	=76	=True	[NULL]	=-7	=0	
=23	=7	=12	=97	=True	[NULL]	=-2	=0	
=24	=7	=12	=102	=True	[NULL]	=-3	=0	
=25	=7	=12	=134	=True	[NULL]	=-7	=0	
=26	=7	=12	=135	=True	[NULL]	=-3	=0	
=27	=7	=12	=137	=True	[NULL]	=-2	=0	
=28	=7	=12	=139	=True	[NULL]	=-27	=0	
=29	=7	=12	=143	=True	[NULL]	=-7	=0	
=30	=7	=12	=146	=True	[NULL]	=-11	=0	
=31	=7	=12	=148	=True	[NULL]	=-14	=0	
=32	=7	=12	=149	=True	[NULL]	=-25	=0	
=33	=7	=12	=150	=True	[NULL]	=-12	=0	
=34	=7	=12	=166	=True	[NULL]	=-2	=0	
=35	=7	=12	=167	=True	[NULL]	=-1	=0	
=36	=7	=12	=168	=True	[NULL]	=-5	=0	
=37	=7	=12	=170	=True	[NULL]	=-6	=0	
=38	=7	=12	=171	=True	[NULL]	=-6	=0	
=39	=7	=12	=192	=True	[NULL]	=-480	=0	
=40	=7	=12	=212	=True	[NULL]	=-6	=0	
=41	=7	=12	=218	=True	[NULL]	=-2	=0	
=42	=7	=12	=287	=True	[NULL]	=-4	=0	
=43	=7	=12	=296	=True	[NULL]	=-11	=0	
=44	=7	=12	=492	=True	[NULL]	=-10	=0	
=45	=7	=12	=506	=True	[NULL]	=-6	=0	
=46	=7	=12	=563	=True	[NULL]	=-4	=0	
=47	=7	=12	=630	=True	[NULL]	=-4	=0	
=48	=7	=12	=636	=True	[NULL]	=-9	=0	
=49	=7	=12	=639	=True	[NULL]	=-2	=0	
=50	=7	=12	=666	=True	[NULL]	=-3	=0	
=51	=7	=12	=671	=True	[NULL]	=-4	=0	
=52	=7	=12	=677	=True	[NULL]	=-3	=0	
=53	=7	=15	=13	=True	[NULL]	=45	=0	
=54	=7	=15	=14	=True	[NULL]	=29	=0	
=55	=7	=15	=34	=True	[NULL]	=2	=0	
=56	=7	=15	=41	=True	[NULL]	=2	=0	
=57	=7	=15	=43	=True	[NULL]	=18	=0	
=58	=7	=15	=45	=True	[NULL]	=4	=0	
=59	=7	=15	=49	=True	[NULL]	=5	=0	
=60	=7	=15	=52	=True	[NULL]	=14	=0	
=61	=7	=15	=53	=True	[NULL]	=3	=0	
=62	=7	=15	=72	=True	[NULL]	=3	=0	
=63	=7	=15	=76	=True	[NULL]	=7	=0	
=64	=7	=15	=97	=True	[NULL]	=2	=0	
=65	=7	=15	=102	=True	[NULL]	=3	=0	
=66	=7	=15	=134	=True	[NULL]	=7	=0	
=67	=7	=15	=135	=True	[NULL]	=3	=0	
=68	=7	=15	=137	=True	[NULL]	=2	=0	
=69	=7	=15	=139	=True	[NULL]	=27	=0	
=70	=7	=15	=143	=True	[NULL]	=7	=0	
=71	=7	=15	=146	=True	[NULL]	=11	=0	
=72	=7	=15	=148	=True	[NULL]	=14	=0	
=73	=7	=15	=149	=True	[NULL]	=25	=0	
=74	=7	=15	=150	=True	[NULL]	=12	=0	
=75	=7	=15	=166	=True	[NULL]	=2	=0	
=76	=7	=15	=167	=True	[NULL]	=1	=0	
=77	=7	=15	=168	=True	[NULL]	=5	=0	
=78	=7	=15	=170	=True	[NULL]	=6	=0	
=79	=7	=15	=171	=True	[NULL]	=6	=0	
=80	=7	=15	=192	=True	[NULL]	=480	=0	
=81	=7	=15	=212	=True	[NULL]	=6	=0	
=82	=7	=15	=218	=True	[NULL]	=2	=0	
=83	=7	=15	=287	=True	[NULL]	=4	=0	
=84	=7	=15	=296	=True	[NULL]	=11	=0	
=85	=7	=15	=492	=True	[NULL]	=10	=0	
=86	=7	=15	=506	=True	[NULL]	=6	=0	
=87	=7	=15	=563	=True	[NULL]	=4	=0	
=88	=7	=15	=630	=True	[NULL]	=4	=0	
