Id	WarehouseId	ItemId	Quantity	ParLevel	ParPackId	
=1	=11	=300	=11	[NULL]	[NULL]	
=2	=11	=301	=549	[NULL]	[NULL]	
=3	=11	=619	=1	[NULL]	[NULL]	
=4	=11	=679	=0	[NULL]	[NULL]	
=5	=8	=679	=4	[NULL]	[NULL]	
=6	=18	=677	=-12	=5	=684	
=7	=18	=192	=-78	[NULL]	[NULL]	
=8	=19	=192	=78	[NULL]	[NULL]	
=9	=11	=110	=10	[NULL]	[NULL]	
=10	=11	=109	=10	[NULL]	[NULL]	
=11	=11	=666	=9	[NULL]	[NULL]	
=12	=11	=671	=8	[NULL]	[NULL]	
=13	=11	=670	=10	[NULL]	[NULL]	
=14	=11	=135	=9	[NULL]	[NULL]	
=15	=11	=45	=9	[NULL]	[NULL]	
=16	=11	=52	=7	[NULL]	[NULL]	
=17	=11	=53	=9	[NULL]	[NULL]	
=18	=11	=672	=10	[NULL]	[NULL]	
=19	=11	=506	=6	[NULL]	[NULL]	
=20	=11	=49	=8	[NULL]	[NULL]	
=21	=11	=148	=15	[NULL]	[NULL]	
=22	=11	=150	=13	[NULL]	[NULL]	
=23	=11	=212	=16	[NULL]	[NULL]	
=24	=11	=143	=15	[NULL]	[NULL]	
=25	=11	=146	=12	[NULL]	[NULL]	
=26	=11	=287	=16	[NULL]	[NULL]	
=27	=11	=677	=17	[NULL]	[NULL]	
=28	=11	=134	=14	[NULL]	[NULL]	
=29	=11	=622	=15	[NULL]	[NULL]	
=30	=11	=563	=14	[NULL]	[NULL]	
=31	=11	=403	=15	[NULL]	[NULL]	
=32	=11	=296	=7	[NULL]	[NULL]	
=33	=11	=259	=15	[NULL]	[NULL]	
=34	=11	=97	=15	[NULL]	[NULL]	
=35	=11	=41	=15	[NULL]	[NULL]	
=36	=11	=137	=15	[NULL]	[NULL]	
=37	=11	=162	=10	[NULL]	[NULL]	
=38	=11	=630	=8	[NULL]	[NULL]	
=39	=11	=660	=10	[NULL]	[NULL]	
=40	=11	=245	=10	[NULL]	[NULL]	
