Id	WarehouseTransactionHistoryId	WarehouseId	ItemId	Active	ObservedQuantity	AdjustmentQuantity	FutureObservedAdjustmentQuantity	
=1	=1	=11	=300	=True	[NULL]	=11	=0	
=2	=1	=11	=301	=True	[NULL]	=552	=0	
=3	=1	=11	=619	=True	[NULL]	=1	=0	
=4	=2	=11	=301	=True	[NULL]	=-3	=0	
=5	=3	=11	=679	=True	[NULL]	=4	=0	
=6	=4	=11	=679	=True	[NULL]	=-4	=0	
=7	=4	=8	=679	=True	[NULL]	=4	=0	
=8	=5	=18	=192	=True	[NULL]	=-30	=0	
=9	=5	=19	=192	=True	[NULL]	=30	=0	
=10	=6	=18	=192	=True	[NULL]	=-48	=0	
=11	=6	=19	=192	=True	[NULL]	=48	=0	
=12	=8	=11	=41	=True	[NULL]	=15	=0	
=13	=8	=11	=45	=True	[NULL]	=9	=0	
=14	=8	=11	=49	=True	[NULL]	=8	=0	
=15	=8	=11	=52	=True	[NULL]	=7	=0	
=16	=8	=11	=53	=True	[NULL]	=9	=0	
=17	=8	=11	=97	=True	[NULL]	=15	=0	
=18	=8	=11	=109	=True	[NULL]	=10	=0	
=19	=8	=11	=110	=True	[NULL]	=10	=0	
=20	=8	=11	=134	=True	[NULL]	=14	=0	
=21	=8	=11	=135	=True	[NULL]	=9	=0	
=22	=8	=11	=137	=True	[NULL]	=15	=0	
=23	=8	=11	=143	=True	[NULL]	=15	=0	
=24	=8	=11	=146	=True	[NULL]	=12	=0	
=25	=8	=11	=148	=True	[NULL]	=15	=0	
=26	=8	=11	=150	=True	[NULL]	=13	=0	
=27	=8	=11	=162	=True	[NULL]	=10	=0	
=28	=8	=11	=212	=True	[NULL]	=16	=0	
=29	=8	=11	=245	=True	[NULL]	=10	=0	
=30	=8	=11	=259	=True	[NULL]	=15	=0	
=31	=8	=11	=287	=True	[NULL]	=16	=0	
=32	=8	=11	=296	=True	[NULL]	=7	=0	
=33	=8	=11	=403	=True	[NULL]	=15	=0	
=34	=8	=11	=506	=True	[NULL]	=6	=0	
=35	=8	=11	=563	=True	[NULL]	=14	=0	
=36	=8	=11	=622	=True	[NULL]	=15	=0	
=37	=8	=11	=630	=True	[NULL]	=8	=0	
=38	=8	=11	=660	=True	[NULL]	=10	=0	
=39	=8	=11	=666	=True	[NULL]	=9	=0	
=40	=8	=11	=670	=True	[NULL]	=10	=0	
=41	=8	=11	=671	=True	[NULL]	=8	=0	
=42	=8	=11	=672	=True	[NULL]	=10	=0	
=43	=8	=11	=677	=True	[NULL]	=17	=0	
